Drug name,Disease name,Reported Effect,,
Pravastatin,Migraine Disorders,side effect,,
Pravastatin,Muscular Atrophy,side effect,,
Pravastatin,Muscular Diseases,side effect,,
Pravastatin,Myocarditis,side effect,,
Pravastatin,Myofascial Pain Syndromes,side effect,,
Pravastatin,Nausea,therapeutic effect,,
Pravastatin,Nephrosis,side effect,,
Pravastatin,Neural Tube Defects,side effect,,
Pravastatin,Neurotic Disorders,side effect,,
Pravastatin,Osteoarthritis,side effect,,
Pravastatin,"Pain, Intractable",side effect,,
Pravastatin,Pancreatic Diseases,side effect,,
Pravastatin,Pancreatitis,side effect,,
Pravastatin,Papilledema,side effect,,
Pravastatin,Pheochromocytoma,side effect,,
Pravastatin,Plasmacytoma,side effect,,
Pravastatin,Polycythemia,side effect,,
Pravastatin,Pseudotumor Cerebri,therapeutic effect,,
Pravastatin,Respiratory Insufficiency,side effect,,
Pravastatin,Retinoblastoma,side effect,,
Pravastatin,Rheumatic Heart Disease,side effect,,
Pravastatin,Sleep Deprivation,side effect,,
Pravastatin,Staphylococcal Infections,side effect,,
Pravastatin,Status Epilepticus,side effect,,
Pravastatin,Stomach Neoplasms,side effect,,
Pravastatin,Strongyloidiasis,side effect,,
Pravastatin,Sturge-Weber Syndrome,side effect,,
Pravastatin,Urinary Calculi,side effect,,
Pravastatin,Ventricular Outflow Obstruction,side effect,,
Pravastatin,"Glaucoma, Angle-Closure",side effect,,
Pravastatin,Spinal Fractures,side effect,,
Pravastatin,"Lymphoma, T-Cell",therapeutic effect,,
Pravastatin,Panic Disorder,side effect,,
Pravastatin,"Tachycardia, Ventricular",side effect,,
Pravastatin,MELAS Syndrome,side effect,,
Pravastatin,Polymyositis,side effect,,
Pravastatin,Exfoliation Syndrome,side effect,,
Pravastatin,"Anemia, Iron-Deficiency",side effect,,
Pravastatin,"Carcinoma, Lewis Lung",side effect,,
Pravastatin,"Syncope, Vasovagal",side effect,,
Pravastatin,Parkinsonian Disorders,side effect,,
Pravastatin,Metabolic Syndrome X,therapeutic effect,,
Pravastatin,"Bronchitis, Chronic",therapeutic effect,,
Pravastatin,Hypoalbuminemia,side effect,,
Pravastatin,Glucose Metabolism Disorders,side effect,,
Pravastatin,Acute Coronary Syndrome,side effect,,
Pravastatin,"Heart Failure, Systolic",therapeutic effect,,
Pravastatin,Intervertebral Disc Degeneration,side effect,,
Pravastatin,Drug-Induced Liver Injury,therapeutic effect,,
Pravastatin,Diabetic Cardiomyopathies,therapeutic effect,,
Pravastatin,Drug Overdose,side effect,,
Prazepam,Altitude Sickness,side effect,,
Prazepam,Eating Disorders,side effect,,
Prazepam,Arterial Occlusive Diseases,side effect,,
Prazepam,Arthritis,side effect,,
Prazepam,Atrial Fibrillation,side effect,,
Prazepam,Autistic Disorder,side effect,,
Prazepam,Autoimmune Diseases,side effect,,
Prazepam,Blepharospasm,side effect,,
Prazepam,Bone Neoplasms,side effect,,
Prazepam,Breast Neoplasms,side effect,,
Prazepam,Bronchitis,side effect,,
Prazepam,Cardiovascular Diseases,therapeutic effect,,
Prazepam,"Colonic Diseases, Functional",side effect,,
Prazepam,Cystic Fibrosis,side effect,,
Prazepam,"Dermatitis, Contact",side effect,,
Prazepam,Fetal Distress,side effect,,
Prazepam,Galactorrhea,side effect,,
Prazepam,"Glomerulonephritis, IGA",side effect,,
Prazepam,Hemangioma,side effect,,
Prazepam,Hemianopsia,side effect,,
Prazepam,"Hepatitis, Animal",side effect,,
Prazepam,"Histiocytosis, Langerhans-Cell",side effect,,
Prazepam,Hyperlipoproteinemia Type V,side effect,,
Prazepam,Hyphema,side effect,,
Prazepam,"Infant, Premature, Diseases",side effect,,
Prazepam,Insect Bites and Stings,side effect,,
Prazepam,Laryngeal Edema,side effect,,
Prazepam,Mouth Neoplasms,side effect,,
Prazepam,Muscular Atrophy,side effect,,
Prazepam,Myoma,side effect,,
Prazepam,Myopia,side effect,,
Prazepam,Personality Disorders,side effect,,
Prazepam,Plasmacytoma,side effect,,
Prazepam,Pre-Eclampsia,side effect,,
Prazepam,Pruritus,side effect,,
Prazepam,Hyperacusis,side effect,,
Prazepam,"Sinus Thrombosis, Intracranial",side effect,,
Prazepam,Stomach Diseases,side effect,,
Prazepam,Stomatitis,side effect,,
Prazepam,Vision Disorders,side effect,,
Prazepam,Inflammatory Bowel Diseases,side effect,,
Prazepam,Systemic Inflammatory Response Syndrome,side effect,,
Prazepam,Conduct Disorder,side effect,,
Prazepam,"Renal Insufficiency, Chronic",side effect,,
Prazepam,Acute Coronary Syndrome,side effect,,
Praziquantel,Atrophy,therapeutic effect,,
Praziquantel,"Epilepsy, Generalized",therapeutic effect,,
Praziquantel,Magnesium Deficiency,therapeutic effect,,
Praziquantel,Leukoencephalopathies,therapeutic effect,,
Prazosin,"Nephrosis, congenital",therapeutic effect,,
Prazosin,"Hypoglycemia, leucine-induced",side effect,,
Prazosin,"High serum cholesterol, familial",side effect,,
Prazosin,Altitude Sickness,side effect,,
Prazosin,Amenorrhea,side effect,,
Prazosin,Aneurysm,side effect,,
Prazosin,Anorexia Nervosa,side effect,,
Prazosin,Eating Disorders,side effect,,
Prazosin,Arthritis,side effect,,
Prazosin,Atrial Flutter,therapeutic effect,,
Prazosin,Autistic Disorder,side effect,,
Prazosin,Bacterial Infections,side effect,,
Prazosin,Berylliosis,side effect,,
Prazosin,Bronchial Spasm,therapeutic effect,,
Prazosin,Bronchitis,side effect,,
Prazosin,Bronchopneumonia,side effect,,
Prazosin,Carotid Artery Diseases,side effect,,
Prazosin,Cognition Disorders,side effect,,
Prazosin,Constipation,side effect,,
Prazosin,"Dermatitis, Contact",side effect,,
Prazosin,"Diabetes Mellitus, Experimental",side effect,,
Prazosin,Dizziness,side effect,,
Prazosin,Dyspnea,side effect,,
Prazosin,Endometrial Hyperplasia,side effect,,
Prazosin,Epilepsy,side effect,,
Prazosin,"Epilepsy, Tonic-Clonic",side effect,,
Prazosin,"Fatty Liver, Alcoholic",side effect,,
Prazosin,Hepatitis,side effect,,
Prazosin,"Hepatitis, Animal",side effect,,
Prazosin,Hepatomegaly,therapeutic effect,,
Prazosin,"Histiocytosis, Langerhans-Cell",side effect,,
Prazosin,Huntington Disease,side effect,,
Prazosin,Hyperaldosteronism,therapeutic effect,,
Prazosin,Hyperlipoproteinemia Type V,side effect,,
Prazosin,Hypochondriasis,therapeutic effect,,
Prazosin,Hypopituitarism,side effect,,
Prazosin,"Hypotension, Orthostatic",therapeutic effect,,
Prazosin,Impulse Control Disorders,side effect,,
Prazosin,"Infertility, Male",therapeutic effect,,
Prazosin,Sleep Initiation and Maintenance Disorders,therapeutic effect,,
Prazosin,Leg Ulcer,side effect,,
Prazosin,"Muscular Dystrophy, Animal",therapeutic effect,,
Prazosin,Myopia,therapeutic effect,,
Prazosin,Nasal Polyps,therapeutic effect,,
Prazosin,Neurotic Disorders,side effect,,
Prazosin,Obesity,side effect,,
Prazosin,Ocular Hypertension,therapeutic effect,,
Prazosin,Optic Neuritis,side effect,,
Prazosin,Papilledema,therapeutic effect,,
Prazosin,"Pemphigoid, Bullous",side effect,,
Prazosin,Peripheral Nervous System Diseases,side effect,,
Prazosin,Pituitary Neoplasms,therapeutic effect,,
Prazosin,Pseudohypoaldosteronism,therapeutic effect,,
Prazosin,Hyperacusis,side effect,,
Prazosin,"Reflex, Abnormal",therapeutic effect,,
Prazosin,Respiratory Insufficiency,side effect,,
Prazosin,Retinoblastoma,side effect,,
Prazosin,Rheumatic Heart Disease,side effect,,
Prazosin,"Schizophrenia, Childhood",side effect,,
Prazosin,"Shock, Septic",therapeutic effect,,
Prazosin,Sigmoid Neoplasms,side effect,,
Prazosin,Snoring,side effect,,
Prazosin,Sturge-Weber Syndrome,side effect,,
Prazosin,Syncope,therapeutic effect,,
Prazosin,Tuberous Sclerosis,therapeutic effect,,
Prazosin,Uveitis,therapeutic effect,,
Prazosin,Uveomeningoencephalitic Syndrome,side effect,,
Prazosin,Vaginal Diseases,side effect,,
Prazosin,"Mammary Neoplasms, Animal",side effect,,
Prazosin,"Keratosis, Seborrheic",side effect,,
Prazosin,Exfoliation Syndrome,therapeutic effect,,
Prazosin,Hemifacial Spasm,therapeutic effect,,
Prazosin,"Sexual Dysfunctions, Psychological",therapeutic effect,,
Prazosin,Diffuse Axonal Injury,side effect,,
Prazosin,Metabolic Syndrome X,side effect,,
Prazosin,Hypoalbuminemia,therapeutic effect,,
Prazosin,"Renal Insufficiency, Chronic",side effect,,
Prazosin,Acute Coronary Syndrome,therapeutic effect,,
Prazosin,Acute Lung Injury,therapeutic effect,,
Prazosin,Acute Kidney Injury,therapeutic effect,,
Prazosin,Drug Overdose,side effect,,
Prednisolone,Cardiomyopathy dilated with Woolly hair and keratoderma,therapeutic effect,,
Prednisolone,Alcohol Withdrawal Delirium,side effect,,
Prednisolone,Altitude Sickness,side effect,,
Prednisolone,Amnesia,therapeutic effect,,
Prednisolone,"Aphasia, Broca",therapeutic effect,,
Prednisolone,Ascites,therapeutic effect,,
Prednisolone,Asphyxia,therapeutic effect,,
Prednisolone,Atrial Fibrillation,therapeutic effect,,
Prednisolone,Atrial Flutter,therapeutic effect,,
Prednisolone,Atrophy,therapeutic effect,,
Prednisolone,Autistic Disorder,side effect,,
Prednisolone,Berylliosis,side effect,,
Prednisolone,Blepharoptosis,therapeutic effect,,
Prednisolone,"Bone Diseases, Endocrine",therapeutic effect,,
Prednisolone,Bone Neoplasms,side effect,,
Prednisolone,Breast Diseases,side effect,,
Prednisolone,Breast Neoplasms,therapeutic effect,,
Prednisolone,Bronchial Diseases,therapeutic effect,,
Prednisolone,Bronchiolitis,side effect,,
Prednisolone,Bronchopulmonary Dysplasia,therapeutic effect,,
Prednisolone,"Carcinoma, Non-Small-Cell Lung",side effect,,
Prednisolone,Carotid Artery Diseases,side effect,,
Prednisolone,Celiac Disease,therapeutic effect,,
Prednisolone,Cerebellar Ataxia,side effect,,
Prednisolone,Cerebral Infarction,side effect,,
Prednisolone,"Ischemic Attack, Transient",therapeutic effect,,
Prednisolone,Croup,side effect,,
Prednisolone,Dermatitis,therapeutic effect,,
Prednisolone,"Diabetes Mellitus, Experimental",side effect,,
Prednisolone,Dizziness,therapeutic effect,,
Prednisolone,Ear Neoplasms,side effect,,
Prednisolone,Echinococcosis,therapeutic effect,,
Prednisolone,Eclampsia,therapeutic effect,,
Prednisolone,Eczema,therapeutic effect,,
Prednisolone,Enuresis,side effect,,
Prednisolone,Epilepsy,side effect,,
Prednisolone,"Epilepsies, Partial",therapeutic effect,,
Prednisolone,Erythema,therapeutic effect,,
Prednisolone,Fasciculation,therapeutic effect,,
Prednisolone,Fetishism (Psychiatric),therapeutic effect,,
Prednisolone,Fibrosis,therapeutic effect,,
Prednisolone,Flatulence,therapeutic effect,,
Prednisolone,Friedreich Ataxia,therapeutic effect,,
Prednisolone,Hemangioma,side effect,,
Prednisolone,"Hemangioma, Cavernous",therapeutic effect,,
Prednisolone,Hematologic Diseases,side effect,,
Prednisolone,Hemorrhagic Disorders,therapeutic effect,,
Prednisolone,Hepatic Encephalopathy,therapeutic effect,,
Prednisolone,"Hepatitis, Animal",therapeutic effect,,
Prednisolone,Hirsutism,therapeutic effect,,
Prednisolone,Huntington Disease,side effect,,
Prednisolone,Hypercalcemia,therapeutic effect,,
Prednisolone,Hyperlipoproteinemia Type IV,therapeutic effect,,
Prednisolone,"Hyperparathyroidism, Secondary",therapeutic effect,,
Prednisolone,"Hypertension, Renal",side effect,,
Prednisolone,Hypertrophy,therapeutic effect,,
Prednisolone,Hypochondriasis,therapeutic effect,,
Prednisolone,Hypoglycemia,therapeutic effect,,
Prednisolone,Intermittent Claudication,therapeutic effect,,
Prednisolone,Leg Ulcer,side effect,,
Prednisolone,"Leishmaniasis, Visceral",therapeutic effect,,
Prednisolone,"Leukomalacia, Periventricular",therapeutic effect,,
Prednisolone,Lung Diseases,therapeutic effect,,
Prednisolone,Lupus Nephritis,therapeutic effect,,
Prednisolone,"Melanoma, Experimental",therapeutic effect,,
Prednisolone,Meniere Disease,therapeutic effect,,
Prednisolone,Meningeal Neoplasms,therapeutic effect,,
Prednisolone,"Meningitis, Aseptic",therapeutic effect,,
Prednisolone,"Meningitis, Pneumococcal",side effect,,
Prednisolone,Meningoencephalitis,therapeutic effect,,
Prednisolone,Myocarditis,therapeutic effect,,
Prednisolone,Myoclonus,therapeutic effect,,
Prednisolone,Myxoma,therapeutic effect,,
Prednisolone,Necrosis,therapeutic effect,,
Prednisolone,Neoplasms,therapeutic effect,,
Prednisolone,Nephrosis,therapeutic effect,,
Prednisolone,Neurotic Disorders,therapeutic effect,,
Prednisolone,"Nystagmus, Pathologic",therapeutic effect,,
Prednisolone,Obesity,therapeutic effect,,
Prednisolone,"Pain, Intractable",therapeutic effect,,
Prednisolone,Peripheral Nervous System Diseases,side effect,,
Prednisolone,Persistent Fetal Circulation Syndrome,therapeutic effect,,
Prednisolone,Personality Disorders,therapeutic effect,,
Prednisolone,Phosphorus Metabolism Disorders,therapeutic effect,,
Prednisolone,Polycythemia,therapeutic effect,,
Prednisolone,Polyradiculopathy,therapeutic effect,,
Prednisolone,Polyuria,therapeutic effect,,
Prednisolone,"Pregnancy Complications, Infectious",therapeutic effect,,
Prednisolone,Pseudohypoparathyroidism,therapeutic effect,,
Prednisolone,"Psychoses, Substance-Induced",therapeutic effect,,
Prednisolone,Radiation Injuries,side effect,,
Prednisolone,Hyperacusis,side effect,,
Prednisolone,Rectal Neoplasms,side effect,,
Prednisolone,Retinal Vein Occlusion,therapeutic effect,,
Prednisolone,Rheumatic Heart Disease,therapeutic effect,,
Prednisolone,Rheumatic Diseases,side effect,,
Prednisolone,"Sexual Dysfunction, Physiological",therapeutic effect,,
Prednisolone,"Shock, Cardiogenic",therapeutic effect,,
Prednisolone,"Shock, Septic",side effect,,
Prednisolone,"Sinus Thrombosis, Intracranial",therapeutic effect,,
Prednisolone,Snoring,therapeutic effect,,
Prednisolone,"Spasms, Infantile",side effect,,
Prednisolone,Staphylococcal Infections,side effect,,
Prednisolone,Stomach Ulcer,side effect,,
Prednisolone,Stomatitis,therapeutic effect,,
Prednisolone,"Stress Disorders, Post-Traumatic",therapeutic effect,,
Prednisolone,Sturge-Weber Syndrome,therapeutic effect,,
Prednisolone,Thrombocytopenia,therapeutic effect,,
Prednisolone,Trismus,side effect,,
Prednisolone,Varicose Veins,therapeutic effect,,
Prednisolone,Vascular Diseases,therapeutic effect,,
Prednisolone,Ventricular Outflow Obstruction,therapeutic effect,,
Prednisolone,Wegener Granulomatosis,therapeutic effect,,
Prednisolone,Reperfusion Injury,therapeutic effect,,
Prednisolone,Nasal Obstruction,therapeutic effect,,
Prednisolone,HIV Infections,therapeutic effect,,
Prednisolone,"Lymphoma, B-Cell",therapeutic effect,,
Prednisolone,"Lymphoma, Large B-Cell, Diffuse",therapeutic effect,,
Prednisolone,"Lymphoma, T-Cell, Cutaneous",therapeutic effect,,
Prednisolone,"Cardiac Output, High",therapeutic effect,,
Prednisolone,Orbital Pseudotumor,therapeutic effect,,
Prednisolone,"Death, Sudden, Cardiac",therapeutic effect,,
Prednisolone,Embolism and Thrombosis,therapeutic effect,,
Prednisolone,"Toxoplasmosis, Cerebral",therapeutic effect,,
Prednisolone,POEMS Syndrome,therapeutic effect,,
Prednisolone,"Liver Failure, Acute",side effect,,
Prednisolone,"Skin Diseases, Vascular",side effect,,
Prednisolone,Porokeratosis,side effect,,
Prednisolone,Neuroectodermal Tumors,therapeutic effect,,
Prednisolone,"Limb Deformities, Congenital",therapeutic effect,,
Prednisolone,"Carcinoma, Adenosquamous",therapeutic effect,,
Prednisolone,Hypokinesia,side effect,,
Prednisolone,Systemic Inflammatory Response Syndrome,side effect,,
Prednisolone,Tension-Type Headache,therapeutic effect,,
Prednisolone,"Carcinoma, Lewis Lung",therapeutic effect,,
Prednisolone,"Sleep Apnea, Central",therapeutic effect,,
Prednisolone,"Myoclonic Epilepsy, Juvenile",therapeutic effect,,
Prednisolone,MPTP Poisoning,therapeutic effect,,
Prednisolone,Essential Tremor,therapeutic effect,,
Prednisolone,"Muscular Dystrophy, Duchenne",side effect,,
Prednisolone,Hypoglossal Nerve Diseases,therapeutic effect,,
Prednisolone,Hyperuricemia,therapeutic effect,,
Prednisolone,Labor Pain,therapeutic effect,,
Prednisolone,Bulimia Nervosa,therapeutic effect,,
Prednisolone,"Kidney Diseases, Cystic",therapeutic effect,,
Prednisolone,"Urinary Incontinence, Urge",therapeutic effect,,
Prednisolone,Acute Coronary Syndrome,side effect,,
Prednisolone,"Tachycardia, Reciprocating",therapeutic effect,,
Prednisolone,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,therapeutic effect,,
Prednisolone,Latent Tuberculosis,therapeutic effect,,
Prednisolone,Acute Kidney Injury,therapeutic effect,,
Prednisolone,Peripheral Arterial Disease,side effect,,
Prednisolone,Aberrant Crypt Foci,therapeutic effect,,
Prednisolone,Drug Overdose,side effect,,
Prednisone,Idiopathic intracranial hypertension with papilledema,therapeutic effect,,
Prednisone,succinic semialdehyde dehydrogenase deficiency,side effect,,
Prednisone,Ovarian epithelial cancer,side effect,,
Prednisone,"Abortion, Spontaneous",therapeutic effect,,
Prednisone,Adrenal Gland Neoplasms,therapeutic effect,,
Prednisone,Alcoholism,therapeutic effect,,
Prednisone,Altitude Sickness,side effect,,
Prednisone,Amenorrhea,therapeutic effect,,
Prednisone,Angina Pectoris,side effect,,
Prednisone,"Aphasia, Broca",therapeutic effect,,
Prednisone,Eating Disorders,therapeutic effect,,
Prednisone,Arthritis,therapeutic effect,,
Prednisone,"Arthritis, Rheumatoid",therapeutic effect,,
Prednisone,Asthma,therapeutic effect,,
Prednisone,Atrial Fibrillation,therapeutic effect,,
Prednisone,Atrial Flutter,side effect,,
Prednisone,Atrophy,therapeutic effect,,
Prednisone,Bacterial Infections,side effect,,
Prednisone,Berylliosis,side effect,,
Prednisone,Bipolar Disorder,side effect,,
Prednisone,Blast Crisis,therapeutic effect,,
Prednisone,Blepharoptosis,therapeutic effect,,
Prednisone,Bone Diseases,side effect,,
Prednisone,"Bone Diseases, Endocrine",therapeutic effect,,
Prednisone,Brain Diseases,side effect,,
Prednisone,Breast Diseases,side effect,,
Prednisone,Bronchiectasis,side effect,,
Prednisone,Bronchopulmonary Dysplasia,therapeutic effect,,
Prednisone,Bruxism,therapeutic effect,,
Prednisone,Calcium Metabolism Disorders,therapeutic effect,,
Prednisone,"Cardiomyopathy, Alcoholic",side effect,,
Prednisone,Celiac Disease,therapeutic effect,,
Prednisone,Cerebellar Neoplasms,side effect,,
Prednisone,Intracranial Aneurysm,side effect,,
Prednisone,"Ischemic Attack, Transient",therapeutic effect,,
Prednisone,Chorea,therapeutic effect,,
Prednisone,Cognition Disorders,side effect,,
Prednisone,Colonic Neoplasms,therapeutic effect,,
Prednisone,Coma,side effect,,
Prednisone,Constipation,side effect,,
Prednisone,Coxsackievirus Infections,side effect,,
Prednisone,Croup,side effect,,
Prednisone,Cystic Fibrosis,therapeutic effect,,
Prednisone,Cysticercosis,therapeutic effect,,
Prednisone,Delirium,therapeutic effect,,
Prednisone,Dermatitis,therapeutic effect,,
Prednisone,"Dermatitis, Contact",side effect,,
Prednisone,Digestive System Diseases,side effect,,
Prednisone,Dizziness,therapeutic effect,,
Prednisone,Dyspnea,side effect,,
Prednisone,Ear Neoplasms,side effect,,
Prednisone,Eczema,therapeutic effect,,
Prednisone,Enuresis,side effect,,
Prednisone,"Epilepsies, Partial",side effect,,
Prednisone,"Epilepsy, Tonic-Clonic",therapeutic effect,,
Prednisone,"Epilepsy, Absence",side effect,,
Prednisone,Esophagitis,side effect,,
Prednisone,Fanconi Syndrome,therapeutic effect,,
Prednisone,Fetishism (Psychiatric),therapeutic effect,,
Prednisone,"Glaucoma, Open-Angle",therapeutic effect,,
Prednisone,Glomerulonephritis,side effect,,
Prednisone,Gout,side effect,,
Prednisone,Graft vs Host Disease,side effect,,
Prednisone,Head and Neck Neoplasms,side effect,,
Prednisone,Hearing Disorders,therapeutic effect,,
Prednisone,Heart Diseases,side effect,,
Prednisone,Hemangioma,therapeutic effect,,
Prednisone,"Hemangioma, Cavernous",therapeutic effect,,
Prednisone,Hematologic Diseases,therapeutic effect,,
Prednisone,Hemorrhagic Disorders,therapeutic effect,,
Prednisone,"Hepatitis, Animal",therapeutic effect,,
Prednisone,Hirsutism,therapeutic effect,,
Prednisone,"Histiocytosis, Langerhans-Cell",side effect,,
Prednisone,Huntington Disease,side effect,,
Prednisone,Hyperaldosteronism,therapeutic effect,,
Prednisone,Hypercalcemia,therapeutic effect,,
Prednisone,Hyperglycemia,therapeutic effect,,
Prednisone,Hyperlipoproteinemia Type V,therapeutic effect,,
Prednisone,"Hyperparathyroidism, Secondary",therapeutic effect,,
Prednisone,Hyperplasia,side effect,,
Prednisone,"Hypertension, Renal",side effect,,
Prednisone,Hypertrophy,therapeutic effect,,
Prednisone,Hypopituitarism,side effect,,
Prednisone,"Infertility, Male",side effect,,
Prednisone,Insect Bites and Stings,side effect,,
Prednisone,"Obstetric Labor, Premature",therapeutic effect,,
Prednisone,Leg Ulcer,side effect,,
Prednisone,"Leishmaniasis, Mucocutaneous",side effect,,
Prednisone,"Leishmaniasis, Visceral",therapeutic effect,,
Prednisone,Leukocyte Disorders,therapeutic effect,,
Prednisone,"Leukomalacia, Periventricular",therapeutic effect,,
Prednisone,"Liver Neoplasms, Experimental",side effect,,
Prednisone,"Lupus Erythematosus, Discoid",therapeutic effect,,
Prednisone,"Mammary Neoplasms, Experimental",therapeutic effect,,
Prednisone,Meige Syndrome,therapeutic effect,,
Prednisone,"Melanoma, Experimental",therapeutic effect,,
Prednisone,Meniere Disease,therapeutic effect,,
Prednisone,Meningeal Neoplasms,therapeutic effect,,
Prednisone,"Meningitis, Pneumococcal",side effect,,
Prednisone,Meningoencephalitis,therapeutic effect,,
Prednisone,Movement Disorders,therapeutic effect,,
Prednisone,Mucocele,therapeutic effect,,
Prednisone,Myocarditis,therapeutic effect,,
Prednisone,Myoclonus,therapeutic effect,,
Prednisone,Myofascial Pain Syndromes,side effect,,
Prednisone,Myxoma,therapeutic effect,,
Prednisone,Necrosis,therapeutic effect,,
Prednisone,Neoplasm Invasiveness,therapeutic effect,,
Prednisone,Neoplasms,therapeutic effect,,
Prednisone,Nephrosis,side effect,,
Prednisone,"Nystagmus, Pathologic",therapeutic effect,,
Prednisone,Obesity,therapeutic effect,,
Prednisone,Oligomenorrhea,therapeutic effect,,
Prednisone,"Pain, Intractable",therapeutic effect,,
Prednisone,Pancreatic Diseases,side effect,,
Prednisone,Papilledema,side effect,,
Prednisone,Paraplegia,side effect,,
Prednisone,Paraproteinemias,therapeutic effect,,
Prednisone,Pemphigus,side effect,,
Prednisone,Polyarteritis Nodosa,therapeutic effect,,
Prednisone,Pericarditis,therapeutic effect,,
Prednisone,Peripheral Nervous System Diseases,side effect,,
Prednisone,Persistent Fetal Circulation Syndrome,therapeutic effect,,
Prednisone,Pheochromocytoma,side effect,,
Prednisone,Polycythemia,therapeutic effect,,
Prednisone,Pre-Eclampsia,therapeutic effect,,
Prednisone,Pseudohypoparathyroidism,therapeutic effect,,
Prednisone,Radiculopathy,therapeutic effect,,
Prednisone,Raynaud Disease,therapeutic effect,,
Prednisone,Respiration Disorders,therapeutic effect,,
Prednisone,"Respiratory Distress Syndrome, Newborn",therapeutic effect,,
Prednisone,Retinal Vein Occlusion,side effect,,
Prednisone,"Rhinitis, Allergic, Perennial",therapeutic effect,,
Prednisone,"Schizophrenia, Childhood",therapeutic effect,,
Prednisone,"Schizophrenia, Paranoid",side effect,,
Prednisone,"Sexual Dysfunction, Physiological",therapeutic effect,,
Prednisone,"Shock, Cardiogenic",therapeutic effect,,
Prednisone,"Shock, Septic",side effect,,
Prednisone,"Sinus Thrombosis, Intracranial",side effect,,
Prednisone,Sleep Deprivation,therapeutic effect,,
Prednisone,Sleep Disorders,therapeutic effect,,
Prednisone,Status Epilepticus,therapeutic effect,,
Prednisone,Stomach Ulcer,side effect,,
Prednisone,Stomatitis,side effect,,
Prednisone,"Stress Disorders, Post-Traumatic",therapeutic effect,,
Prednisone,"Tachycardia, Supraventricular",side effect,,
Prednisone,Thromboangiitis Obliterans,side effect,,
Prednisone,Thrombocytopenia,therapeutic effect,,
Prednisone,Tinnitus,side effect,,
Prednisone,Uveitis,therapeutic effect,,
Prednisone,"Uveitis, Anterior",therapeutic effect,,
Prednisone,Vascular Headaches,therapeutic effect,,
Prednisone,Ventricular Outflow Obstruction,therapeutic effect,,
Prednisone,Hypertriglyceridemia,therapeutic effect,,
Prednisone,"Panniculitis, Lupus Erythematosus",therapeutic effect,,
Prednisone,"Arthritis, Psoriatic",therapeutic effect,,
Prednisone,Iridocyclitis,therapeutic effect,,
Prednisone,"Lymphoma, Large B-Cell, Diffuse",therapeutic effect,,
Prednisone,"Lymphoma, T-Cell, Cutaneous",therapeutic effect,,
Prednisone,Ovarian Hyperstimulation Syndrome,therapeutic effect,,
Prednisone,Peripheral Vascular Diseases,side effect,,
Prednisone,Bronchial Hyperreactivity,therapeutic effect,,
Prednisone,Central Nervous System Neoplasms,therapeutic effect,,
Prednisone,Panic Disorder,side effect,,
Prednisone,Eosinophilia-Myalgia Syndrome,therapeutic effect,,
Prednisone,Orbital Pseudotumor,therapeutic effect,,
Prednisone,"Death, Sudden, Cardiac",therapeutic effect,,
Prednisone,"Toxoplasmosis, Cerebral",therapeutic effect,,
Prednisone,POEMS Syndrome,therapeutic effect,,
Prednisone,Liver Failure,therapeutic effect,,
Prednisone,Polymyositis,side effect,,
Prednisone,"Skin Diseases, Vascular",side effect,,
Prednisone,Parasystole,therapeutic effect,,
Prednisone,Neuroectodermal Tumors,therapeutic effect,,
Prednisone,"Vasculitis, Leukocytoclastic, Cutaneous",therapeutic effect,,
Prednisone,Systemic Inflammatory Response Syndrome,side effect,,
Prednisone,"Impotence, Vasculogenic",therapeutic effect,,
Prednisone,"Carcinoma, Lewis Lung",side effect,,
Prednisone,"Optic Neuropathy, Ischemic",therapeutic effect,,
Prednisone,Thrombophilia,side effect,,
Prednisone,Stereotypic Movement Disorder,side effect,,
Prednisone,"Sleep Apnea, Central",therapeutic effect,,
Prednisone,Serotonin Syndrome,therapeutic effect,,
Prednisone,"Gait Disorders, Neurologic",therapeutic effect,,
Prednisone,MPTP Poisoning,therapeutic effect,,
Prednisone,Parkinsonian Disorders,side effect,,
Prednisone,Spinocerebellar Ataxias,therapeutic effect,,
Prednisone,Amaurosis Fugax,side effect,,
Prednisone,"Pulmonary Disease, Chronic Obstructive",therapeutic effect,,
Prednisone,Congenital Hyperinsulinism,side effect,,
Prednisone,"Kidney Diseases, Cystic",therapeutic effect,,
Prednisone,Nocturia,therapeutic effect,,
Prednisone,"Urinary Incontinence, Urge",therapeutic effect,,
Prednisone,Hypercalciuria,therapeutic effect,,
Prednisone,Acute Coronary Syndrome,side effect,,
Prednisone,Vascular Malformations,therapeutic effect,,
Prednisone,Precursor Cell Lymphoblastic Leukemia-Lymphoma,side effect,,
Prednisone,Venous Thromboembolism,therapeutic effect,,
Prednisone,Acute Lung Injury,therapeutic effect,,
Prednisone,Intervertebral Disc Degeneration,side effect,,
Prednisone,Latent Tuberculosis,therapeutic effect,,
Prednisone,Leukoencephalopathies,therapeutic effect,,
Prednisone,Aberrant Crypt Foci,therapeutic effect,,
Prilocaine,Papilledema,therapeutic effect,,
Prilocaine,Parkinson Disease,therapeutic effect,,
Prilocaine,"Pemphigoid, Bullous",therapeutic effect,,
Prilocaine,Shy-Drager Syndrome,therapeutic effect,,
Primaquine,Mercury Poisoning,therapeutic effect,,
Primidone,Intrahepatic Cholestasis of Pregnancy,side effect,,
